l_orderkey,revenue,o_orderdate,o_shippriority
820962,419926.0763,1995-02-11,0
630307,415855.5458,1995-01-30,0
4607909,414722.4714,1995-02-27,0
3182468,410405.5494,1995-02-11,0
4868034,404208.2718,1995-02-20,0
1670759,394096.6203,1995-02-20,0
3021510,392182.0173,1995-02-04,0
4940928,391339.2508,1995-02-12,0
4046689,387831.7184,1995-02-07,0
2351270,387236.633,1995-03-03,0
725350,385547.2742,1995-03-02,0
2804001,378697.8367,1995-02-13,0
4080544,375241.436,1995-02-22,0
568514,370778.6535,1995-02-18,0
3283042,368517.6443,1995-02-08,0
1000004,367563.8124,1995-03-02,0
178727,358270.7436,1995-02-25,0
4366310,355731.3474,1995-02-25,0
2489856,355220.1752,1995-02-24,0
887427,355052.4968,1995-03-02,0
3943810,354633.4437,1995-02-15,0
915620,350339.1006,1995-02-11,0
1411522,348873.1414,1995-03-03,0
5608230,348456.3178,1995-01-25,0
5536290,346681.1072,1995-01-31,0
4204646,344230.7059,1995-02-04,0
3510692,344140.545,1995-02-16,0
3394532,344080.4137,1995-02-03,0
2672101,343955.8863,1995-02-28,0
5232164,343460.6726,1995-02-22,0
1145764,342858.0364,1995-02-17,0
5475975,342664.9961,1995-02-20,0
3456320,342213.1806,1995-02-13,0
2794307,340971.3589,1995-02-05,0
864000,340299.6171,1995-02-27,0
2042305,340090.4169,1995-01-20,0
5813603,337695.6948,1995-02-07,0
4093761,337572.9702,1995-01-26,0
4618913,336811.0583,1995-02-27,0
4736678,336651.4815,1995-03-03,0
2256518,336267.5074,1995-02-18,0
1162759,336060.8342,1995-02-20,0
600259,335714.6937,1995-02-13,0
3171521,334463.2035,1995-03-03,0
3604994,334075.5225,1995-02-26,0
4266053,333690.9337,1995-03-01,0
3472071,332465.548,1995-03-03,0
1624195,330833.8981,1995-01-23,0
3456230,330584.3718,1995-02-01,0
2097063,330376.3921,1995-02-22,0
177955,330285.2993,1995-03-01,0
3813895,329633.5358,1995-02-17,0
3056836,329281.7593,1995-02-20,0
5193702,328644.8019,1995-01-10,0
5111201,327864.1812,1995-02-19,0
1433444,327712.9293,1995-02-09,0
161062,327560.6089,1995-01-22,0
2752773,326908.5147,1995-02-20,0
3393632,326250.8228,1995-02-15,0
1324322,326184.0884,1995-02-22,0
5935620,326056.9434,1995-02-25,0
5942788,325725.1133,1995-02-24,0
4472710,323619.2649,1995-02-17,0
1562819,323415.4332,1995-02-22,0
1824391,322820.4112,1995-02-26,0
5435302,321607.7194,1995-02-24,0
956288,321536.3715,1995-01-31,0
3487105,321365.3288,1995-02-19,0
2355141,321340.8075,1995-02-17,0
937091,320854.2419,1995-02-22,0
4778278,320769.1868,1995-02-05,0
433543,320593.3057,1995-02-20,0
4603847,319382.5714,1995-02-25,0
1413862,319031.8886,1995-02-19,0
4015591,319002.8806,1995-02-15,0
4604002,318876.0192,1995-02-22,0
2011780,318277.1069,1995-02-16,0
3197254,316867.3197,1995-02-25,0
3142406,314911.3452,1995-03-03,0
2835174,313440.2474,1995-01-28,0
1279942,312138.6416,1995-02-27,0
748418,312087.1158,1995-02-25,0
5596161,311942.0912,1995-02-27,0
4911079,311907.3579,1995-01-01,0
5654501,311652.036,1995-02-13,0
951524,311455.5983,1995-02-21,0
4433667,311129.9593,1995-02-23,0
5714535,310551.6033,1995-02-19,0
4516868,310508.9898,1995-02-03,0
298661,310445.086,1995-02-03,0
5241317,309753.1326,1995-03-02,0
3627970,309665.035,1995-02-18,0
1466147,309554.3944,1995-02-22,0
2336643,308734.5041,1995-02-18,0
5555072,308281.4174,1995-02-03,0
1301347,307742.296,1995-02-02,0
5160645,307052.766,1995-01-18,0
3820229,306364.4551,1995-02-25,0
2381030,305303.1276,1995-02-08,0
3839968,305230.9314,1995-02-17,0
4286624,305142.9039,1995-01-28,0
3213159,304973.3532,1995-03-01,0
3324100,304956.248,1995-01-14,0
5569829,304874.5859,1995-01-16,0
5519969,304794.0972,1995-02-28,0
3103782,304282.5383,1995-02-27,0
352133,304035.847,1995-02-04,0
1923138,302496.7161,1995-03-02,0
1621031,302329.8852,1995-02-19,0
737191,302190.0251,1995-02-11,0
5808486,302167.8394,1995-02-20,0
498465,300369.2936,1995-02-27,0
2166274,300142.0374,1995-03-01,0
5294561,298923.3968,1995-02-19,0
5892514,298675.8816,1995-01-15,0
4579041,298361.7492,1995-02-12,0
924390,298266.748,1995-02-28,0
619268,296836.7009,1995-02-28,0
5535078,296544.5973,1995-02-14,0
5702880,296440.5498,1995-02-25,0
3291489,296398.5123,1995-02-15,0
55973,296290.0338,1995-02-15,0
948583,295987.145,1995-01-25,0
3521314,295907.1048,1995-01-13,0
2240643,295459.5479,1995-02-24,0
