nation,o_year,sum_profit
ALGERIA,1998,29619138.9396
ALGERIA,1997,50793564.9672
ALGERIA,1996,50889363.8401
ALGERIA,1995,47296041.6846
ALGERIA,1994,50236185.9302
ALGERIA,1993,50066076.4975
ALGERIA,1992,52044071.0808
ARGENTINA,1998,26497663.0643
ARGENTINA,1997,45164492.1085
ARGENTINA,1996,45770216.5759
ARGENTINA,1995,46963623.8856
ARGENTINA,1994,47999668.0719
ARGENTINA,1993,43545377.5968
ARGENTINA,1992,44693753.3796
BRAZIL,1998,28208869.3405
BRAZIL,1997,50722184.2208
BRAZIL,1996,46066093.3
BRAZIL,1995,47819776.5111
BRAZIL,1994,47472347.0843
BRAZIL,1993,49726178.7587
BRAZIL,1992,48362933.6422
CANADA,1998,27303190.7397
CANADA,1997,48793718.4748
CANADA,1996,49193176.132
CANADA,1995,48734212.3806
CANADA,1994,46455482.4357
CANADA,1993,48683788.6249
CANADA,1992,46501147.4129
CHINA,1998,26815979.196
CHINA,1997,48522729.1278
CHINA,1996,49396693.4901
CHINA,1995,45238394.5167
CHINA,1994,49610201.4561
CHINA,1993,45108142.2461
CHINA,1992,45486519.6931
EGYPT,1998,29276653.4737
EGYPT,1997,50659159.7662
EGYPT,1996,52212301.0198
EGYPT,1995,52450661.2193
EGYPT,1994,51447381.9428
EGYPT,1993,50474885.9295
EGYPT,1992,51210794.6194
ETHIOPIA,1998,27923599.7215
ETHIOPIA,1997,46969886.7534
ETHIOPIA,1996,44451140.05
ETHIOPIA,1995,47127011.7624
ETHIOPIA,1994,45819886.0626
ETHIOPIA,1993,48922422.5124
ETHIOPIA,1992,45016522.1433
FRANCE,1998,26483858.1353
FRANCE,1997,45909078.0247
FRANCE,1996,47508793.6646
FRANCE,1995,49852615.5061
FRANCE,1994,46177247.5519
FRANCE,1993,46514963.3477
FRANCE,1992,47376315.7255
GERMANY,1998,28866206.682
GERMANY,1997,47844140.0209
GERMANY,1996,48767335.9184
GERMANY,1995,47736142.682
GERMANY,1994,46696075.8469
GERMANY,1993,46051853.0349
GERMANY,1992,48130274.0382
INDIA,1998,26817907.5652
INDIA,1997,46745370.8901
INDIA,1996,47110673.3022
INDIA,1995,49459546.9666
INDIA,1994,47941319.3153
INDIA,1993,47084468.8746
INDIA,1992,46767921.1562
INDONESIA,1998,28276313.7458
INDONESIA,1997,47804383.4045
INDONESIA,1996,51263961.5267
INDONESIA,1995,49703985.5764
INDONESIA,1994,49633250.0969
INDONESIA,1993,48644026.8209
INDONESIA,1992,47790611.7886
IRAN,1998,28793161.4016
IRAN,1997,48261521.6992
IRAN,1996,47689158.5404
IRAN,1995,47287407.368
IRAN,1994,48405385.7499
IRAN,1993,46927261.508
IRAN,1992,49507283.6354
IRAQ,1998,31801993.1511
IRAQ,1997,54639428.113
IRAQ,1996,52720115.257
IRAQ,1995,51367014.3075
IRAQ,1994,53123676.1833
IRAQ,1993,53661014.4447
IRAQ,1992,52553452.8264
JAPAN,1998,27273991.6383
JAPAN,1997,46253810.1523
JAPAN,1996,45320722.7308
JAPAN,1995,43494816.9694
JAPAN,1994,44695116.2697
JAPAN,1993,42948161.6949
JAPAN,1992,46691448.4643
JORDAN,1998,23884207.1551
JORDAN,1997,44117510.0482
JORDAN,1996,43258686.4237
JORDAN,1995,42394663.5
JORDAN,1994,40333062.6664
JORDAN,1993,43116634.3425
JORDAN,1992,41223316.7453
KENYA,1998,25748849.7565
KENYA,1997,43919723.3164
KENYA,1996,43762461.8869
KENYA,1995,44344431.7987
KENYA,1994,46294948.4895
KENYA,1993,43712296.039
KENYA,1992,43872529.2044
MOROCCO,1998,23817078.89
MOROCCO,1997,42188303.4987
MOROCCO,1996,45065489.3844
MOROCCO,1995,45570267.5024
MOROCCO,1994,46435243.1598
MOROCCO,1993,45243674.6906
MOROCCO,1992,44712161.1603
MOZAMBIQUE,1998,29086677.1154
MOZAMBIQUE,1997,45928795.3899
MOZAMBIQUE,1996,50357027.4733
MOZAMBIQUE,1995,47685147.2317
MOZAMBIQUE,1994,48515556.192
MOZAMBIQUE,1993,46035017.4114
MOZAMBIQUE,1992,49311849.0089
PERU,1998,30734629.7696
PERU,1997,53028466.576
PERU,1996,52913627.9506
PERU,1995,53038258.2715
PERU,1994,52624285.7674
PERU,1993,53196251.0468
PERU,1992,49676336.8838
ROMANIA,1998,27330074.8414
ROMANIA,1997,46609806.5643
ROMANIA,1996,49587576.8539
ROMANIA,1995,46333952.4882
ROMANIA,1994,45851832.7425
ROMANIA,1993,47526751.3527
ROMANIA,1992,47629989.9266
RUSSIA,1998,28071232.4401
RUSSIA,1997,49244175.2986
RUSSIA,1996,52882267.1534
RUSSIA,1995,50089210.7736
RUSSIA,1994,48523185.5804
RUSSIA,1993,47770153.8222
RUSSIA,1992,50371481.7974
SAUDI ARABIA,1998,29358550.5931
SAUDI ARABIA,1997,50618565.8534
SAUDI ARABIA,1996,49258109.256
SAUDI ARABIA,1995,49091353.622
SAUDI ARABIA,1994,49299319.6536
SAUDI ARABIA,1993,47370622.8606
SAUDI ARABIA,1992,51321948.9789
UNITED KINGDOM,1998,28766459.9327
UNITED KINGDOM,1997,47631029.6052
UNITED KINGDOM,1996,50103525.6213
UNITED KINGDOM,1995,47487059.821
UNITED KINGDOM,1994,44888985.4721
UNITED KINGDOM,1993,49403662.6531
UNITED KINGDOM,1992,50032449.3801
UNITED STATES,1998,27354538.7356
UNITED STATES,1997,48609401.9086
UNITED STATES,1996,48438290.6872
UNITED STATES,1995,48683615.5908
UNITED STATES,1994,48312449.6615
UNITED STATES,1993,49331212.7596
UNITED STATES,1992,48970626.4956
VIETNAM,1998,27494598.019
VIETNAM,1997,46458546.8103
VIETNAM,1996,51267210.9473
VIETNAM,1995,48474536.0696
VIETNAM,1994,47019046.6345
VIETNAM,1993,46856610.7034
VIETNAM,1992,47827698.8808
