s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9962.01,Supplier#000001252,CHINA,113718,Manufacturer#3,hWdaJ3c8fYMDnKf9X,28-109-976-7603,slyly express requests cajole after the regularly ironic accou
9901.58,Supplier#000001432,VIETNAM,103901,Manufacturer#4,LimomaEm6kDIk gF8s,31-671-456-4156,at the furiously ironic accoun
9827.8,Supplier#000004150,INDIA,194149,Manufacturer#4,0IkHoFdRLvLhYHk1,18-994-717-4433,"ctions. unusual excuses cajole unusual, sl"
9797.52,Supplier#000000853,INDIA,15850,Manufacturer#5,KaxJfVsa81F5IL6tBDgwafdmLiJ8JnDENPkp,18-286-624-2526,accounts about the careful
9783.31,Supplier#000001149,VIETNAM,1148,Manufacturer#5,exDCXUvI1cIdkjl,31-169-782-3259,regular theodolites. blithel
9779.92,Supplier#000001688,INDONESIA,121687,Manufacturer#1,5BoRvpHTP22vhkeAz,19-389-800-2516,fluffily outside the quickly regular dugouts. fu
9746.01,Supplier#000000883,CHINA,110882,Manufacturer#5,"WBBs4osUuOfcc,RgG qcxjslmfLbXojBDN ",28-614-756-7513,c platelets nag quickly. regular accounts sleep quickly after the
9719.33,Supplier#000006056,INDONESIA,113544,Manufacturer#3,lChGCwgNul Kbw7DEUGk7Q LkaKUnwwIf,19-167-423-3098,as sleep furiously ironic accounts. final dugouts print f
9694.06,Supplier#000004614,INDIA,27107,Manufacturer#2,MvQomNFE8k5t RG,18-716-786-1412,nt ideas; permanent ideas haggle blithely ironic theodolites. 
9664.67,Supplier#000009286,CHINA,166769,Manufacturer#4,0azOXL2pl5cmxzP8lba,28-467-426-2914, about the slyly bold pinto beans. furio
9649.23,Supplier#000002339,INDIA,59833,Manufacturer#5,EBqt9pHpQbwMoJPZUNG1yfn5kemNqckjGreO6t,18-919-726-3263,ndencies cajole past the slyly unusual accounts! regular 
9649.23,Supplier#000002339,INDIA,177304,Manufacturer#5,EBqt9pHpQbwMoJPZUNG1yfn5kemNqckjGreO6t,18-919-726-3263,ndencies cajole past the slyly unusual accounts! regular 
9636.13,Supplier#000005572,VIETNAM,88047,Manufacturer#4,"D,52CtM8PmuAOG",31-829-399-4904,"nusual, even platelets detect furiously along the always expre"
9613.73,Supplier#000001569,VIETNAM,166536,Manufacturer#4,s8EimNuCKUfm8E78g9f2tEE6noM7zjJYSdH3pP,31-720-753-1283,ages use quickly above the fluff
9610.23,Supplier#000003609,JAPAN,138582,Manufacturer#2,H5vThwafH8lGe,22-417-679-1450,ithely express platelets. carefully e
9580.96,Supplier#000003573,VIETNAM,26066,Manufacturer#3,HvysxKzNBdz,31-324-183-9738,lly pending asymptotes wake according to the forges? furiously final ideas use slyly. d
9569.55,Supplier#000003578,VIETNAM,46065,Manufacturer#2,7fb iFwK2q1GEa6 ,31-172-107-7363,"xpress courts haggle about the express, final packages. final cour"
9569.55,Supplier#000003578,VIETNAM,178543,Manufacturer#1,7fb iFwK2q1GEa6 ,31-172-107-7363,"xpress courts haggle about the express, final packages. final cour"
9560.64,Supplier#000009656,INDONESIA,44647,Manufacturer#3,"xgbbHK vUFEaEiwyqHT,N",19-362-745-1503,ions integrate quickly. c
