ps_partkey,value
185849,19679361.28
192173,17979237.89
167700,16246216.3
177727,15716947.13
33614,15205507.49
106192,14999550.59
71279,14484847.57
82807,14476546.45
47379,14447793.14
184880,14237637.25
40978,14143611.9
146782,13886358.88
43534,13868509.23
189840,13744347.74
132492,13693944.06
14624,13632967.73
195482,13601060.78
73208,13501690.52
85583,13478748.63
110202,13269922.04
85355,13201240.01
69089,13076478.72
149976,12926738.1
15883,12926567.33
175782,12888340.98
78010,12885306.92
40229,12792002.63
139430,12784579.53
51692,12775644.21
96670,12749427.76
16881,12415355.07
140854,12396804.58
84329,12375023.69
81571,12295487.95
157027,12256751.86
138562,12234761.76
95010,12207564.69
94604,12199099.19
51285,12182701.32
152358,12168433.5
46587,12129788.55
105313,12127217.04
56533,12094131.52
6100,12014950.16
176239,11980062.3
147213,11971336.59
186495,11961030.81
98770,11948082.24
111109,11926024.64
19210,11893453.59
145882,11837428.65
167213,11837329.68
73022,11828088.52
23853,11809706.7
84079,11740893.56
149065,11598203.93
4349,11567001.68
192471,11565228.87
5520,11531491.92
97614,11463544.11
45327,11430136.96
54218,11421677.47
2518,11371515.54
45188,11337747.84
119430,11310761.97
26355,11299037.73
187085,11282439.19
5323,11261941.52
32807,11254503.03
170949,11245688.96
132227,11173213.36
35532,11172379.06
185313,11165996.1
99065,11148368.88
90183,11143171.52
54612,11125855.23
76787,11108981.64
160677,11085534.85
39643,11066801.11
30776,11059639.34
37263,11000761.03
152229,11000266.71
85213,10934420.56
172685,10889526.86
48526,10863943.08
39092,10861811.57
191223,10857518.4
64276,10817367.13
139777,10810185.93
171269,10761901.6
135340,10761505.84
30229,10760389.1
84675,10748850.08
3367,10714325.25
57261,10663973.35
72245,10645188.86
78217,10610027.07
6713,10606585.22
145692,10582158.67
119259,10565819.68
115274,10474080.81
182290,10433678.99
173173,10406760.8
109777,10367731.08
60301,10365129.9
105531,10335183.64
193509,10326193.08
109506,10314141.1
100984,10282878.0
810,10270573.65
67599,10267110.49
60296,10225481.16
54843,10224337.85
11711,10220668.14
2139,10220644.66
167211,10212452.05
184992,10192288.77
113005,10156210.83
1100,10142711.88
6063,10103463.2
134751,10090115.9
189736,10067133.69
174963,10036001.44
132842,10017358.82
14281,10006190.6
178549,9974430.12
116163,9973516.8
22121,9952276.94
160520,9950672.86
9469,9942876.02
69991,9923381.28
14226,9919337.43
155340,9908216.82
70872,9896393.24
169311,9881525.23
103002,9870303.41
194433,9866891.7
98563,9863368.65
136041,9857465.39
103553,9849378.7
122490,9839985.76
124613,9838545.92
48347,9835433.41
154198,9831001.52
164695,9810040.71
88364,9805189.56
35194,9798930.81
167396,9782556.71
5810,9780717.43
172696,9771347.79
93482,9752073.84
74677,9751990.92
186593,9751800.43
129736,9749208.64
177699,9748406.22
190992,9746049.58
87489,9739485.36
189797,9732816.17
177930,9730423.35
6849,9726028.05
64300,9706809.42
134417,9704228.31
107153,9698998.65
39766,9689748.14
12981,9676358.58
4222,9670375.83
195981,9667739.37
59092,9666377.69
82075,9650271.0
185764,9649718.75
98367,9646558.8
179601,9645498.73
96713,9644476.34
144959,9641420.36
58371,9641393.28
69735,9640951.2
191269,9638514.45
181733,9637262.44
113803,9634162.0
144625,9623474.24
128091,9621350.84
4887,9615857.94
5867,9604291.98
10094,9603023.5
198471,9584721.6
163788,9574656.3
107560,9562969.28
168234,9561841.45
179384,9553578.75
57222,9549627.34
43059,9539800.54
16031,9535382.56
62173,9528444.75
158864,9522514.98
101009,9520888.8
166087,9509441.04
19431,9503496.25
190677,9502752.4
179736,9502524.8
42404,9499421.58
165330,9494843.8
31990,9494119.5
29461,9490899.6
149132,9488450.51
80307,9480594.14
45986,9479353.91
137237,9479092.4
